,Exercise ,Difficulty Level,Target Muscle Group ,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Combination Exercises,Mechanics
,Double Kettlebell Half Kneeling Overhead Press,Novice,Shoulders,Kettlebell,Half Kneeling,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Front Rack Cyclist Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Front Rack Step Up,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Contralateral Overhead Knee Over Toes Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Dead Clean to Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Neutral,Combo Exercise,Compound
,Single Arm Kettlebell Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Sumo Deadlift,Novice,Glutes,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Contralateral Front Rack Knee Over Toes Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Push Press,Novice,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Push Jerk,Novice,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Seated Overhead Press,Novice,Shoulders,Kettlebell,Seated,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Z Press,Intermediate,Shoulders,Kettlebell,Seated Floor,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Contralateral Split Squat Thruster,Intermediate,Shoulders,Kettlebell,Split Stance Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Split Squat Thruster,Intermediate,Shoulders,Kettlebell,Split Stance Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Kettlebell Swing,Novice,Glutes,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Alternating Single Arm Kettlebell Swing,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Alternating Single Arm Kettlebell Clean,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Alternating Single Arm Kettlebell Snatch,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Sots Press,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Contralateral Overhead Knee Over Toes Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Staggered Stance Swing,Intermediate,Glutes,Kettlebell,Staggered Stance Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Alternating Single Arm Kettlebell Staggered Stance Swing,Intermediate,Glutes,Kettlebell,Staggered Stance Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Half Kneeling Swing,Intermediate,Glutes,Kettlebell,Half Kneeling,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Half Kneeling Contralateral Bottoms Up Press,Intermediate,Shoulders,Kettlebell,Half Kneeling,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Outside Swing,Novice,Glutes,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Outside Snatch,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Outside Clean,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Outside Clean and Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Side Swing,Intermediate,Abdominals,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Parallette Push Up With Alternating Shoulder Taps,Intermediate,Chest,Parallette Bars,Prone,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Parallette Tuck Planche,Advanced,Abdominals,Parallette Bars,,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Dive Bomber Push Up,Intermediate,Chest,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dive Bomber Push Up,Novice,Chest,Bodyweight,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Parallette L Sit to Tuck Planche,Expert,Abdominals,Parallette Bars,L Sit,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Double Dumbbell Prone Row,Novice,Back,Dumbbell,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Landmine Standing Oblique Twist,Intermediate,Abdominals,Landmine,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Cable Tall Kneeling High to Low Chop,Intermediate,Abdominals,Cable,Tall Kneeling,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Parallette Plank,Intermediate,Abdominals,Parallette Bars,Prone,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Suspension Plank,Intermediate,Abdominals,Suspension Trainer,Prone,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Battle Rope Russian Twist,Novice,Abdominals,Battle Ropes,Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bird Dog Knee to Elbow,Beginner,Abdominals,Bodyweight,Quadruped,Single Arm,Continuous,Flat Palm,Single Exercise,Compound
,Slam Ball Russian Twist Feet Elevated,Intermediate,Abdominals,Slam Ball,Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Medicine Ball Russian Twist Feet Elevated,Novice,Abdominals,Medicine Ball,Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Kettlebell Feet Elevated Russian Twist,Novice,Abdominals,Kettlebell,Seated,Double Arm,Continuous,Horn Grip,Single Exercise,Compound
,Parallette Plank Alternating Knee to Elbow,Novice,Abdominals,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Forearm Plank Knee to Elbow,Intermediate,Abdominals,Bodyweight,Prone,Double Arm,Continuous,Forearm,Single Exercise,Compound
,Loaded Beast to Alternating Kick Through,Intermediate,Abdominals,Bodyweight,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,Single Exercise,Compound
,Ring False Grip Pull Up,Expert,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,False Grip,Single Exercise,Compound
,Single Arm Kettlebell Clean to Press Windmill,Advanced,Abdominals,Kettlebell,Standing,Single Arm,Continuous,Neutral,Combo Exercise,Compound
,Single Arm Kettlebell Half Kneeling Windmill,Advanced,Abdominals,Kettlebell,Half Kneeling,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Battle Rope Russian Twist Feet Elevated,Intermediate,Abdominals,Battle Ropes,Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Superband Dead Bug,Novice,Abdominals,Superband,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Parallette V Sit,Expert,Abdominals,Parallette Bars,V Sit Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Tuck V Sit,Intermediate,Abdominals,Parallette Bars,V Sit Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Staggered Stance Push Press,Intermediate,Shoulders,Barbell,Staggered Stance Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Front Rack Skater Squat,Expert,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Kettlebell Goblet Skater Squat,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Horn Grip,Single Exercise,Compound
,Double Kettlebell Front Rack Pistol Squat to Box,Intermediate,Quadriceps,Kettlebell,Single Leg Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Front Rack Pistol Squat,Advanced,Quadriceps,Kettlebell,Single Leg Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Superband Standing Pallof Press,Beginner,Abdominals,Superband,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Superband Half Kneeling Pallof Press,Novice,Abdominals,Superband,Half Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Superband Hip External Rotation (90 Degree),Novice,Glutes,Superband,Standing,No Arms,Continuous,Hand Assisted,Single Exercise,Isolation
,Barbell Prone Row,Novice,Back,Barbell,Prone,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Dumbbell Renegade Row Push Up,Intermediate,Back,Dumbbell,Prone,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Landmine Row to Rotational Press,Intermediate,Shoulders,Landmine,Standing,Single Arm,Continuous,Pronated,Combo Exercise,Compound
,Assisted Skater Squat,Novice,Quadriceps,Bodyweight,Standing,Single Arm,Continuous,Hand Assisted,Single Exercise,Compound
,Superband Pull Through,Beginner,Glutes,Superband,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Miniband Quadruped Hip Extension,Beginner,Glutes,Miniband,Quadruped,No Arms,Continuous,Flat Palm,Single Exercise,Isolation
,Cable Hip Adduction,Novice,Adductors,Cable,Standing,No Arms,Continuous,Hand Assisted,Single Exercise,Isolation
,Superband Tall Kneeling Pallof Press,Novice,Abdominals,Superband,Tall Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Slider Eccentric Hamstring Curl,Beginner,Hamstrings,Sliders,Supine,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Landmine Lateral Lunge,Novice,Quadriceps,Landmine,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Renegade Row ,Intermediate,Back,Kettlebell,Prone,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Cuban Press,Novice,Shoulders,Dumbbell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Slider Parallette Knee Tuck,Novice,Abdominals,Sliders,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Supinated Shoulder Front Raise,Intermediate,Shoulders,Barbell,Standing,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Ring Pike Feet Elevated Handstand Push Up,Advanced,Shoulders,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Straddle Press to Handstand,Expert,Shoulders,Parallette Bars,Inverted,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Ring L Sit,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Tuck Back Lever With Alternating Single Leg Extensions,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Tuck Front Lever With Alternating Single Leg Extensions,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Hollow Hold With Flutter Kick,Intermediate,Abdominals,Kettlebell,Supine,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Front Rack Cyclist Squat,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Back Cyclist Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Inverted Crunch With Gravity Boots,Advanced,Abdominals,Bodyweight,Inverted,No Arms,Continuous,Head Supported,Single Exercise,Compound
,Double Kettlebell Renegade Row Push Up,Intermediate,Back,Kettlebell,Prone,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Bird Dog Row,Intermediate,Back,Kettlebell,Quadruped,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Back Rack Step Up,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Front Rack Step Up,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Standing Rollout,Advanced,Abdominals,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Stability Ball Cable Russian Twist,Novice,Abdominals,Stability Ball,Supine,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Miniband Frog Pump,Beginner,Glutes,Miniband,Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Miniband Knee Hover Quadruped Fire Hydrant,Advanced,Glutes,Miniband,Knee Hover Quadruped,No Arms,Continuous,Flat Palm,Single Exercise,Isolation
,Fire Hydrant,Beginner,Glutes,Bodyweight,Quadruped,Double Arm,Continuous,Flat Palm,Single Exercise,Isolation
,Knee Hover Quadruped Fire Hydrant,Intermediate,Glutes,Bodyweight,Knee Hover Quadruped,Double Arm,Continuous,Flat Palm,Single Exercise,Isolation
,Barbell Seated Reverse Wrist Curl,Intermediate,Forearms,Barbell,Seated,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Seated Wall Angels,Beginner,Shoulders,Bodyweight,Seated,Double Arm,Continuous,No Grip,Single Exercise,Compound
,Bent Knee Copenhagen Plank Side Raise,Intermediate,Adductors,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Single Exercise,Compound
,Kneeling Side Plank,Beginner,Abdominals,Bodyweight,Kneeling,Single Arm,Continuous,Forearm,Single Exercise,Compound
,Assisted Hip Airplane,Novice,Glutes,Bodyweight,Standing,Double Arm,Continuous,Hand Assisted,Single Exercise,Compound
,Superband Single Leg Ankle Dorsiflexion,Beginner,,Superband,Seated,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Barbell Zercher Squat,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,No Grip,Single Exercise,Compound
,Barbell Squat Snatch,Expert,Glutes,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Push Jerk,Intermediate,Glutes,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Clean and Jerk,Expert,Glutes,Barbell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Barbell Incline Bench Press,Novice,Chest,Barbell,Seated,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Hang Squat Clean Thruster,Advanced,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Barbell Squat Clean Thruster,Advanced,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Copenhagen Plank,Novice,Adductors,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Single Exercise,Compound
,Bent Knee Copenhagen Plank,Novice,Adductors,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Single Exercise,Compound
,Parallette Kneeling Close Grip Tricep Push Up,Beginner,Triceps,Parallette Bars,Prone,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Miniband Single Leg Hip Thrust,Novice,Glutes,Miniband,,No Arms,Continuous,No Grip,Single Exercise,Compound
,Barbell Deficit Snatch Grip Deadlift,Intermediate,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Ring Chin Up Eccentrics,Expert,Biceps,Gymnastic Rings,Hanging,Single Arm,Continuous,Supinated,Single Exercise,Compound
,Assisted Foot Elevated Knee Over Toes Split Squat,Beginner,Quadriceps,Bodyweight,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Hand Assisted,Single Exercise,Compound
,Foot Elevated Knee Over Toes Split Squat,Beginner,Quadriceps,Bodyweight,Knee Over Toes Split Stance Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Double Kettlebell Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Single Arm Kettlebell Bent Leg Windmill,Intermediate,Abdominals,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Kettlebell Alternating Halo to Goblet Squat,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Combo Exercise,Compound
,Single Arm Kettlebell Half Kneeling Overhead Press,Intermediate,Shoulders,Kettlebell,Half Kneeling,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Seesaw Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Side to Side Swing,Intermediate,Abdominals,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Half Kneeling Clean to Side Press,Advanced,Shoulders,Kettlebell,Half Kneeling,Single Arm,Continuous,Neutral,Combo Exercise,Compound
,Parallette Feet Elevated Pike Push Up,Advanced,Shoulders,Parallette Bars,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Handstand,Expert,Shoulders,Parallette Bars,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette L Sit to Handstand,Expert,Shoulders,Parallette Bars,Inverted,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Ring Straddle L Sit,Expert,Abdominals,Gymnastic Rings,,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Parallette Stalder Press to Handstand,Master,Shoulders,Parallette Bars,Inverted,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Ring Gironda Sternum Chin Up,Expert,Biceps,Gymnastic Rings,Hanging,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Ring Archer Push Up,Advanced,Chest,Gymnastic Rings,Prone,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Ring Chin Up,Master,Biceps,Gymnastic Rings,Hanging,Single Arm,Continuous,Supinated,Single Exercise,Compound
,Ring L Sit Archer Pull Up,Expert,Back,Gymnastic Rings,Hanging,Double Arm,Alternating,Pronated,Single Exercise,Compound
,Alternating Single Arm Parallette Push Up,Intermediate,Chest,Parallette Bars,Prone,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Dumbbell Incline Bench Prone Y Raise,Novice,Trapezius ,Dumbbell,Prone,Double Arm,Continuous,Neutral,Single Exercise,
,Single Arm Cable Kneeling Shoulder External Rotation,Novice,Shoulders,Cable,Kneeling,Single Arm,Continuous,Neutral,Single Exercise,Isolation
,Suspension Face Pull to Overhead Press,Novice,Shoulders,Suspension Trainer,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Superband Assisted Muscle Up,Advanced,Back,Superband,Hanging,Double Arm,Continuous,False Grip,Single Exercise,Compound
,Stability Ball Sit Up,Beginner,Abdominals,Stability Ball,Supine,No Arms,Continuous,Head Supported,Single Exercise,
